"product_name","star","price","classification","website","distinction","description"
"Zum Stammtisch","","25 - 50 USD","Comfortable","http://www.zumstammtisch.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Family owned and operated since 1972, this unrelenting success story has expanded over the years and welcomed Stammtisch Pork Store & Imports next door. Zum Stammtisch hosts a crowded house in a Bavarian country inn setting where old-world flavor is relished with whole-hearted enthusiasm. The goulash is thick and hearty, stocked with potatoes and beans, but that's just for starters. Save room for sauerbraten, jägerschnitzel, or a platter of succulent grilled sausages that includes bratwurst, knockwurst, and hickory-smoked krainerwurst served with sauerkraut and potato salad. The Schwarzwälder Kirschtorte (classic Black Forest cake) layers dense chocolate sponge with Kirsch-soaked cherries and cream, and is absolutely worth the indulgence."
"Zoma","","Under 25 USD","Comfortable","http://www.zomanyc.com","Bib Gourmand • Inspectors’ favourites for good value","Smart, cool, modern, and always welcoming, Zoma may well be this city's most serious Ethiopian restaurant. The crowded bar emits a golden light from below to showcase its premium spirits, and the ambient dining room is filled with locals from this thriving community. Attention to detail is clear from the steaming hot towel for cleaning your hands to the carefully folded injera used for scooping up their chopped salads, chunky stews, and saucy vegetables. Unusual starters might include green lentils with a cold and crunchy mix of onions, jalapeños, ginger, white pepper, and mustard seeds. The doro watt-a chicken dish of the Amhara people-is a very traditional stew with a berbere sauce of sun-dried hot peppers and ground spices."
"ZZ's Clam Bar","One  Star","Over 75 USD","Comfortable. Our most delightful places","http://www.zzsclambar.com","One Star • High quality cooking, worth a stop","If you forget about your bank statement, don’t arrive faint with hunger, and leave your cynicism at the door—you’ll love ZZ’s Clam Bar. With just four marble tables and a small counter, this is as intimate as it gets. But you first have to navigate the bouncer at the door who’ll only allow admittance with a reservation. This at least ensures that, when you’re inside this bijou spot, the door doesn’t swing open every minute. Once in, you’re handed a cocktail list—these are, without doubt, some of the best in town and fully justify the lofty prices. The short seafood menu comes with a couple of choices under headings like “crudo,” “seared” and “ceviche.” Before you do anything else, order the trout roe on toast—it’s a beautiful thing and will linger long in the memory. This is not the place for everyone. Some won't see past some of the more pretentious elements and affectations and the prices can be eye-watering-the Chianina beef carpaccio comes in at over $100. However, judicious ordering before you plunge into the cocktails, like having clams instead of caviar, can at least keep your final bill from escalating too wildly. It also helps that the place is run with considerable charm, patience and care."
"zero otto nove","","25 - 50 USD","Quite comfortable","http://www.roberto089.com","Bib Gourmand • Inspectors’ favourites for good value","This Arthur Avenue favorite is easily recognized by the powder-blue FIAT parked outside, but is better appreciated for the wood-burning dome oven. Brick and cement archways, high ceilings, and a second-floor dining terrace strive to keep that oven-and its wares-within each table's line of vision. The menu showcases Salerno-style cooking with pizzas, baked pastas, and wood-fired entrées. In fact, any dish that is ""al cartoccio"" (in parchment) is sure to please. Open up this pouch to try the pitch-perfect al dente radiatori baked with porcini, cherry tomatoes, breadcrumbs, and loads of deliciously spicy sausage. The ragù Salernitano is a gut-busting triumph of stewed braciole, sausage, and tender meatballs. The Nutella calzone makes a sweet, rich finish."
"Zenkichi","","25 - 50 USD","Comfortable","http://www.zenkichi.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Though this Japanese standby might have seemed more novel a few years ago, Zenkichi still retains plenty of magic. The atmosphere is relaxed but focused, and the omakase is surprisingly well-priced for this neighborhood. Secluded booths offer a sexy vibe for date night, where couples can ring a bell for service. And Akariba, a cool little cash-only bar next door that is connected to the restaurant, serves up such treats as oysters and sake. In addition to the à la carte and dessert menus, this kitchen also offers three variations on omakase: traditional, vegetarian, and wheat-free. But unlike the typical omakase, there's something here for everyone, and the pre-determined dishes may unveil Saikyo miso cod or a heap of summer vegetables in Tosazu gelée."
"Minetta Tavern","One  Star","50 - 75 USD","Comfortable. Our most delightful places","http://www.minettatavernny.com","One Star • High quality cooking, worth a stop","While this circa 1937 setting has been restored and refreshed, nothing here changes and that is its beauty. This quintessential New York tavern is still surrounded by dark wood, checkerboard tiled floors, and those framed caricatures. The astute service team handles the crowds and energy as well as ever—they even don the same white-aproned livery seen in Mad Men. It’s that kind of place. The menu’s dedication to bistro classics (like oxtail and foie gras terrine) and New York steakhouse staples ensure its longevity. Trust them to prepare a steak tartare that is beyond textbook perfect, comprised here of pristine beef tenderloin, anchovy, capers and more, crowned with a tiny quail’s egg. This kitchen has a way with meat that goes far beyond the burger on everyone’s lips, thanks to beef that promises the deep, telltale flavors of dry-aging. Their massive pork chop draped in sauce charcutière has an intense crust that is blackened but never burnt, concealing a juicy interior that is no small feat for such a large piece of meat. The bittersweet chocolate soufflé is, was, and probably always will be crowd-pleasing and delicious, especially when served with a melting scoop of Bourbon-pecan ice cream."
"The Red Cat","","25 - 50 USD","Quite comfortable","http://www.theredcat.com","The Plate • Fresh ingredients, carefully prepared: a good meal","If crowds indicate quality (and downtown they often do) then this clear favorite is still going strong, after almost 20 years. Loyal customers as diverse as the city itself flood this long bar and richly colored room for lunch, dinner, or just for a finely mixed cocktail and snack. Flowers give the space a touch of luxury; Moorish lanterns add warmth. The pleasures here are the straightforward items, which arrive courtesy of Chef/owner Jimmy Bradley. Begin with umami-rich and visually stunning roasted broccoli, finished with slivered almonds and parmesan shavings, before moving on to a crisped tranche of salmon crowned with peekytoe crab in creamy saffron aïoli. Finish in style with a perfectly composed pistachio semifreddo draped with dark chocolate sauce."
"Novitá","","50 - 75 USD","Quite comfortable","http://www.novitanyc.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Enjoyable and quietly elegant, Novitá boasts a genuine Italian sensibility both in setting and service. The small size and low ceilings foster a surprisingly serene ambience that is all but disappearing in the city. Prices are not cheap, but the quality is high. The cooking does not necessarily break new ground, but is nonetheless good. Rather than explore the costlier dishes that perhaps feature Kobe beef or black truffles, it's best to stick to the tried-and-true favorites. Start with a superb combination of pan-fried shiitake caps filled with shrimp and scallions. Then, move on to tiny orechiette mingled with just the right amount of slow-cooked and fiery lamb ragù, broccoli rabe, and grated cheese. The espresso-soaked tiramisu is a perfect pick-me-up."
"L'Antagoniste","","50 - 75 USD","Quite comfortable","http://www.lantagoniste.com","The Plate • Fresh ingredients, carefully prepared: a good meal","From the razor-sharp service staff and its charming décor (think elegantly set wood tables and banquettes), to the killer but notably traditional French menu, everything about this buzzing hangout in burgeoning Bed-Stuy is bang-on. The fact that it is surrounded by bodegas and a fast food joint simply adds to the overall intrigue. Owner Amadeus Broger is the master of operations here and appears to have just one, single formula in mind-and that is to churn out serious food in a fun and convivial setting. Don't miss the soufflé au fromage, rendered light and frothy with nutty Comté; the tournedos Rossini, tender filet mignon over a potato pancake, topped with foie gras medallions and finished with Madeira; or the perfectly executed duck a l'orange."
"Hudson Garden Grill","","50 - 75 USD","Quite comfortable","http://www.nybg.org/visit/hudson-garden-grill.php","The Plate • Fresh ingredients, carefully prepared: a good meal","There are many reasons why this is such an exciting partnership between The New York Botanical Garden and Chef Julian Alonzo, not the least of which is the idyllic setting. It is situated within sight of the landmarked Haupt Conservatory, open and airy, where huge arched windows overlook the manicured lawns. The menu is polished, makes the most of locally sourced ingredients, and exceeds expectations with delicious cooking that is as beautiful as the surroundings. Start with chewy, savory monkey bread served with honey butter in a cast-iron pan, then move on to tender and buttery crab cakes with pickled cucumbers, sea beans, and mustard seeds. The only disappointment maybe that it keeps the same hours as the NYBT, so this is a lunch-only treat."
